
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"19000","Iowa",94837806,98557027,105123259,117188453,123190909,127896330,137930153,137548464,136894606,142233936,148477616,158538380,162200263,173095881,180299255,181011403,183549771,190403058,194322589,194267619
"19001","Adair, IA",192200,207074,213211,264365,231854,241022,238902,274102,252422,249907,293421,291755,326127,320286,340599,334776,345933,365573,396285,471348
"19003","Adams, IA",104535,122224,108547,133267,113445,105909,106668,144128,159725,189946,233706,161946,194688,226644,235122,240144,238874,230534,244107,225198
"19005","Allamakee, IA",370163,373426,404772,449149,451816,461311,480689,488535,473187,509434,542350,527458,576504,617226,619617,647922,624054,615159,643771,650482
"19007","Appanoose, IA",246068,262107,283193,310364,313599,312934,299743,337399,349685,342931,367128,355931,372061,378414,404814,401151,416086,414456,424582,422811
"19009","Audubon, IA",127772,137212,135884,184715,171628,183449,191531,279502,239534,236619,254119,224767,246643,238718,217131,222102,258782,266761,329263,304112
"19011","Benton, IA",418694,450279,449822,503963,485434,501558,560707,595680,585857,624896,689400,696222,734777,738559,760444,757065,800275,858008,910365,990090
"19013","Black Hawk, IA",4258241,4539640,4547255,5194137,5539360,5724273,6012900,6076110,6317491,6729740,6700313,8581517,7633430,8873363,8498956,7645593,7791744,8112162,8161794,8073066
"19015","Boone, IA",593816,639887,688005,742093,760089,775051,834416,846396,909581,917102,959994,957337,1011629,1001698,968237,968204,940808,1009112,1062573,1114030
"19017","Bremer, IA",589252,615150,636101,773314,845832,829394,910889,828920,800789,818546,895602,998773,995245,1072184,1119197,1105987,1091004,1131783,1154442,1139507
"19019","Buchanan, IA",400787,412660,415136,477876,509876,525364,563788,552014,581131,583358,694181,690011,738515,737669,694964,749706,797696,797927,841000,824952
"19021","Buena Vista, IA",615182,637795,672190,761713,765364,784868,884418,1017315,1067334,1119371,1158963,1225006,1415973,1643988,1867841,1362666,1234756,1309731,1245432,1283184
"19023","Butler, IA",242496,258416,255007,337004,331426,339031,381381,373352,370245,430787,495479,490999,502050,474089,439893,397280,425958,423942,437820,462538
"19025","Calhoun, IA",192652,206890,219398,277868,282947,281184,332189,364184,301014,345372,403911,405540,431616,431370,356669,394388,394076,412732,428059,405414
"19027","Carroll, IA",653353,662887,713942,852384,885772,927882,980800,998223,974822,1090905,1147541,1174004,1237921,1289079,1286859,1356367,1424914,1416305,1389017,1330651
"19029","Cass, IA",323867,342827,352531,419027,415107,437742,444964,498538,482770,480326,535866,580618,613611,624746,654316,642112,660476,694455,696635,677970
