State FIPS,AREA TYPE,AREA NAME,YEAR,MONTH,SEASONALLY ADJUSTED,LABORFORCE,EMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT RATE,LABFORCE_PART RATE
19,State,Iowa,2022,July,1,1710600,1667200,43300,2.5,67.8
19,State,Iowa,2022,July,0,1712300,1665400,46900,2.7,
19,State,Iowa,2022,June,1,1709200,1665400,43900,2.6,67.8
19,State,Iowa,2022,June,0,1717500,1671900,45600,2.7,
19,State,Iowa,2022,May,1,1704100,1657300,46800,2.7,67.6
19,State,Iowa,2022,May,0,1698000,1659800,38200,2.2,
19,State,Iowa,2022,April,1,1697700,1646800,50900,3,67.4
19,State,Iowa,2022,April,0,1694900,1656900,37900,2.2,
19,State,Iowa,2022,March,0,1700500,1643900,56600,3.3,
19,State,Iowa,2022,March,1,1692400,1636800,55600,3.3,67.2
19,State,Iowa,2022,February,1,1686600,1627100,59500,3.5,67
19,State,Iowa,2022,February,0,1709900,1648900,61000,3.6,
19,State,Iowa,2022,January,1,1680400,1617700,62700,3.7,66.8
19,State,Iowa,2022,January,0,1698600,1623900,74800,4.4,
19,State,Iowa,2021,December,0,1680600,1621200,59400,3.5,
19,State,Iowa,2021,December,1,1675600,1610800,64900,3.9,66.7
19,State,Iowa,2021,November,1,1675800,1610700,65100,3.9,66.7
19,State,Iowa,2021,November,0,1680200,1626900,53300,3.2,
19,State,Iowa,2021,October,1,1677100,1610800,66300,4,66.8
19,State,Iowa,2021,October,0,1682900,1627300,55600,3.3,
19,State,Iowa,2021,September,1,1678100,1609300,68800,4.1,66.9
19,State,Iowa,2021,September,0,1673000,1615700,57200,3.4,
19,State,Iowa,2021,August,1,1681400,1609500,71900,4.3,67
19,State,Iowa,2021,August,0,1674800,1605600,69100,4.1,
19,State,Iowa,2021,July,0,1699300,1626100,73200,4.3,
19,State,Iowa,2021,July,1,1682700,1608600,74100,4.4,67.1
19,State,Iowa,2021,June,1,1682800,1607600,75300,4.5,67.2
19,State,Iowa,2021,June,0,1685400,1603800,81600,4.8,
19,State,Iowa,2021,May,1,1679900,1604900,75000,4.5,67.1
19,State,Iowa,2021,May,0,1666700,1593600,73100,4.4,
19,State,Iowa,2021,April,0,1669800,1595500,74300,4.5,
19,State,Iowa,2021,April,1,1676500,1601700,74800,4.5,67
19,State,Iowa,2021,March,0,1669800,1590100,79800,4.8,
19,State,Iowa,2021,March,1,1671500,1597700,73800,4.4,66.8
19,State,Iowa,2021,February,0,1669300,1584800,84500,5.1,
19,State,Iowa,2021,February,1,1666500,1593400,73100,4.4,66.6
19,State,Iowa,2021,January,0,1661100,1571800,89300,5.4,
19,State,Iowa,2021,January,1,1663600,1590500,73100,4.4,66.5
19,State,Iowa,2020,December,0,1661900,1584900,77000,4.6,
19,State,Iowa,2020,December,1,1662000,1587300,74600,4.5,66.5
19,State,Iowa,2020,November,1,1658200,1583700,74500,4.5,66.3
19,State,Iowa,2020,November,0,1660600,1594000,66600,4,
19,State,Iowa,2020,October,1,1652800,1578000,74800,4.5,66.1
19,State,Iowa,2020,October,0,1664200,1605200,59000,3.5,
19,State,Iowa,2020,September,0,1653900,1582500,71500,4.3,
