DATE,MEHOINUSIAA672N
1984-01-01,49472
1985-01-01,50392
1986-01-01,53150
1987-01-01,50767
1988-01-01,53667
1989-01-01,55566
1990-01-01,55017
1991-01-01,55547
1992-01-01,54560
1993-01-01,53070
1994-01-01,59993
1995-01-01,62903
1996-01-01,57287
1997-01-01,57044
1998-01-01,61673
1999-01-01,67040
2000-01-01,64671
2001-01-01,62858
2002-01-01,61993
2003-01-01,61111
2004-01-01,62389
2005-01-01,64669
2006-01-01,64829
2007-01-01,64065
2008-01-01,63252
2009-01-01,64206
2010-01-01,61041
2011-01-01,60627
2012-01-01,63180
2013-01-01,70080
2014-01-01,66225
2015-01-01,69593
2016-01-01,66719
2017-01-01,70148
2018-01-01,74144
2019-01-01,70002
2020-01-01,72030
2021-01-01,72429
